アイドルグループ,あいどるぐるーぷ,
アフターサービス,あふたーさーびす,
油絵画家,あぶらえがか,
暗記カード,あんきかーど,
遺伝子組み換え,いでんしくみかえ,
犬の散歩,いぬのさんぽ,
医療保険,いりょうほけん,
印刷所,いんさつじょ,
インターネット,いんたーねっと,
インターネット接続,いんたーねっとせつぞく,
宇宙開発,うちゅうかいはつ,
宇宙旅行,うちゅうりょこう,
運動会,うんどうかい,
映画館,えいがかん,
映画鑑賞,えいがかんしょう,
エコロジーカー,えころじーかー,
エネルギー政策,えねるぎーせいさく,
遠隔操作,えんかくそうさ,
鉛筆削り,えんぴつけずり,
オートバイ,おーとばい,
お弁当,おべんとう,
オリンピック,おりんぴっく,
音楽インストラクター,おんがくいんすとらくたー,
音楽家,おんがくか,
音楽会,おんがくかい,
音楽学校,おんがくがっこう,
音楽監督,おんがくかんとく,
音楽教室,おんがくきょうしつ,
音楽祭,おんがくさい,
音楽フェスティバル,おんがくふぇすてぃばる,
音楽プレーヤー,おんがくぷれーやー,
音楽療法,おんがくりょうほう,
海外旅行,かいがいりょこう,
外国語学校,がいこくごがっこう,
海賊船,かいぞくせん,
海底探検,かいていたんけん,
開放ソース,かいほうそーす,
買い物,かいもの,
海洋汚染,かいようおせん,
海洋科学,かいようかがく,
画家,がか,
化学物質,かがくぶっしつ,
学習指導,がくしゅうしどう,
学習机,がくしゅうつくえ,
学術研究,がくじゅつけんきゅう,
学生証,がくせいしょう,
学生寮,がくせいりょう,
火災保険,かさいほけん,
火山灰,かざんばい,
カスタマーサービス,かすたまーさーびす,
火星探査,かせいたんさ,
火星探査機,かせいたんさき,
化石燃料,かせきねんりょう,
仮想現実,かそうげんじつ,
家族計画,かぞくけいかく,
カタログ,かたろぐ,
学校教育,がっこうきょういく,
家庭科,かていか,
家庭教師,かていきょうし,
家庭菜園,かていさいえん,
家庭用品,かていようひん,
家電製品,かでんせいひん,
歌舞伎,かぶき,
紙芝居,かみしばい,
カメラマン,かめらまん,
カラオケボックス,からおけぼっくす,
環境保全,かんきょうほぜん,
観光地,かんこうち,
観光名所,かんこうめいしょ,
看護師,かんごし,
機械工学,きかいこうがく,
気候変動,きこうへんどう,
汽車旅行,きしゃりょこう,
技術革新,ぎじゅつかくしん,
気象情報,きしょうじょうほう,
気象庁,きしょうちょう,
季節行事,きせつぎょうじ,
着物,きもの,
恐竜博物館,きょうりゅうはくぶつかん,
魚介類,ぎょかいるい,
漁業経済,ぎょぎょうけいざい,
金色,きんいろ,
緊急避難路,きんきゅうひなんろ,
銀行,ぎんこう,
金融政策,きんゆうせいさく,
空気清浄機,くうきせいじょうき,
空港ターミナル,くうこうたーみなる,
空港タクシー,くうこうたくしー,
空中給油,くうちゅうきゅうゆ,
口紅,くちべに,
クラウドストレージ,くらうどすとれーじ,
グラウンド,ぐらうんど,
クラシック音楽,くらしっくおんがく,
クレジットカード,くれじっとかーど,
経済学者,けいざいがくしゃ,
経済危機,けいざいきき,
経済制裁,けいざいせいさい,
経済発展,けいざいはってん,
警察官,けいさつかん,
携帯電話,けいたいでんわ,
結婚記念日,けっこんきねんび,
結婚式,けっこんしき,
結婚式場,けっこんしきじょう,
結婚指輪,けっこんゆびわ,
結晶構造,けっしょうこうぞう,
月面着陸,げつめんちゃくりく,
月曜日,げつようび,
県警察,けんけいさつ,
健康食品,けんこうしょくひん,
健康保険証,けんこうほけんしょう,
言語学者,げんごがくしゃ,
原子力発電,げんしりょくはつでん,
現代美術,げんだいびじゅつ,
建築構造,けんちくこうぞう,
建築設計,けんちくせっけい,
現場監督,げんばかんとく,
公園,こうえん,
公園遊具,こうえんゆうぐ,
公共交通機関,こうきょうこうつうきかん,
公共事業,こうきょうじぎょう,
航空券,こうくうけん,
公衆衛生,こうしゅうえいせい,
公衆電話,こうしゅうでんわ,
公衆浴場,こうしゅうよくじょう,
